pid,delta_yield,fractional_change
287056,2.57,0.22
287280,2.65,0.22
287055,2.72,0.23
287392,2.56,0.21
297022,1.95,0.11
296911,1.85,0.10
296910,1.87,0.11
296912,2.02,0.11
296463,1.89,0.12
296464,1.89,0.12
297134,2.03,0.12
304451,-0.71,-0.03
304338,-0.58,-0.02
304564,-0.83,-0.03
296575,1.82,0.11
287391,2.84,0.24
291395,2.70,0.17
302430,-0.88,-0.04
296909,1.94,0.11
296800,1.83,0.10
296574,1.83,0.11
303552,-1.02,-0.04
296352,1.91,0.13
290940,2.24,0.12
291283,2.83,0.17
291282,2.78,0.18
289704,2.02,0.12
290379,2.34,0.13
287168,2.67,0.23
296686,1.82,0.10
297023,1.94,0.11
302204,-0.74,-0.03
296908,1.77,0.10
289706,2.15,0.13
296687,1.80,0.10
290153,2.12,0.12
290715,2.21,0.12
291284,2.78,0.16
301644,-0.93,-0.04
302317,-0.82,-0.03
290830,2.28,0.13
296798,1.79,0.10
291394,2.81,0.19
290828,2.26,0.12
289929,2.09,0.12
301977,-0.66,-0.03
291281,2.62,0.17
296576,1.82,0.11
289931,2.25,0.14
287167,2.79,0.24
289818,2.16,0.13
296565,1.21,0.07
289930,2.18,0.13
290491,2.28,0.13
289928,1.98,0.12
303101,-0.75,-0.03
301530,-0.98,-0.04
301641,-0.95,-0.04
289595,2.18,0.13
302654,-0.91,-0.04
291508,2.40,0.14
302653,-0.93,-0.04
290377,2.01,0.11
301646,-1.02,-0.04
290492,2.39,0.14
289817,2.05,0.12
290489,2.05,0.11
301534,-0.96,-0.04
296688,1.80,0.10
301756,-0.98,-0.04
290827,2.11,0.11
296566,1.23,0.07
290829,2.30,0.13
290019,0.68,0.03
292047,1.38,0.07
304565,-0.87,-0.04
296906,1.89,0.11
296795,1.68,0.10
302316,-0.76,-0.03
290714,1.97,0.10
302876,-0.91,-0.04
301533,-0.94,-0.04
301978,-1.04,-0.04
290716,2.31,0.13
290265,2.02,0.11
289705,2.06,0.12
296452,1.22,0.07
296905,1.85,0.11
289932,2.53,0.17
289819,2.32,0.15
302988,-0.92,-0.04
297020,1.97,0.11
304340,-0.75,-0.03
291507,2.58,0.16
292046,1.37,0.07
290043,2.28,0.14
302090,-0.69,-0.03
296340,1.26,0.08
289907,0.61,0.02
297021,1.98,0.11
289820,2.35,0.15
296351,1.91,0.12
290156,2.37,0.13
290602,2.12,0.11
296794,1.80,0.10
302203,-0.71,-0.03
301419,-0.93,-0.04
290154,2.23,0.13
290131,0.74,0.03
291156,1.64,0.08
302542,-0.91,-0.04
290152,1.92,0.11
291145,0.95,0.04
296797,1.83,0.10
301529,-0.97,-0.04
290378,2.15,0.12
289707,2.35,0.15
290488,1.82,0.10
291619,2.36,0.14
297246,2.10,0.12
291257,0.69,0.03
304114,-0.93,-0.04
302205,-0.79,-0.03
291490,1.29,0.06
296900,1.44,0.08
296790,1.37,0.08
