pid,delta_yield,fractional_change
288091,-0.43,-0.02
288164,1.67,0.19
288917,0.60,0.09
289245,1.28,0.34
289253,1.62,0.24
289355,1.08,0.25
289358,0.89,0.26
289360,1.21,0.24
289365,0.99,0.13
289456,1.48,0.36
289462,0.37,0.11
289581,0.91,0.26
289650,1.48,0.07
289701,1.14,0.17
289915,1.06,0.29
290028,1.13,0.29
290129,0.42,0.15
290135,-0.06,-0.01
290214,-0.30,-0.02
290235,0.36,0.13
290238,0.37,0.16
290242,1.18,0.37
290250,1.23,0.34
290257,1.16,0.27
290324,0.24,0.01
290348,0.31,0.14
290596,0.82,0.10
290598,1.05,0.14
290702,1.52,0.28
290745,1.54,0.27
290928,0.92,0.12
291148,0.91,0.16
291251,1.49,0.38
291696,1.19,0.30
291704,1.40,0.27
291705,1.42,0.26
291760,1.70,0.67
291804,0.99,0.25
291810,0.86,0.20
291817,0.55,0.12
291819,0.93,0.11
291910,1.08,0.15
291930,1.42,0.22
292009,0.64,0.03
292024,1.30,0.22
292033,0.10,0.03
292040,0.43,0.08
292268,0.65,0.08
293013,0.31,0.02
293145,1.32,0.34
293152,1.63,0.29
293234,0.35,0.02
293345,0.46,0.02
293349,0.40,0.02
293414,0.94,0.17
293461,0.49,0.03
293592,0.57,0.14
293747,0.90,0.14
293798,1.09,0.06
293904,0.33,0.02
293968,1.04,0.19
294149,0.66,0.30
294199,0.72,0.10
294260,0.59,0.28
294262,0.59,0.27
294296,-0.34,-0.09
294375,0.56,0.23
294525,0.94,0.22
294642,0.68,0.11
294671,0.70,0.24
294714,0.25,0.11
294721,1.25,0.43
294756,1.29,0.25
294803,0.42,0.03
294865,1.41,0.33
294935,-0.30,-0.09
295055,0.46,0.20
295201,1.37,0.33
295202,1.24,0.30
295280,-0.16,-0.06
295503,0.51,0.26
295513,0.67,0.28
295560,1.59,0.56
295624,0.10,0.04
295736,0.31,0.12
295742,0.44,0.16
295776,1.66,0.44
295807,0.33,0.03
295883,1.54,0.40
295911,0.96,0.05
296082,0.27,0.06
296085,0.45,0.15
296086,0.49,0.18
296094,1.10,0.26
296270,1.50,0.22
296434,1.40,0.32
296441,1.21,0.53
296566,1.32,0.41
297080,1.02,0.33
297082,0.87,0.25
297195,0.86,0.27
297408,0.87,0.43
297465,1.40,0.53
297500,0.49,0.11
297722,0.62,0.10
301325,0.71,0.21
304370,0.53,0.53
287149,1.32,0.19
287195,0.09,0.00
287866,-1.00,-0.05
288145,1.32,0.12
288249,0.88,0.10
288276,1.90,0.21
288765,-0.89,-0.04
289129,1.39,0.31
289136,0.90,0.26
289142,1.36,0.19
289236,0.87,0.26
289243,1.00,0.23
289362,1.26,0.23
289757,4.29,0.16
289784,1.51,0.22
289805,1.28,0.29
289809,1.15,0.25
289897,0.65,0.12
289914,1.05,0.31
289917,1.27,0.29
289926,1.30,0.18
290023,0.08,0.03
290141,1.47,0.35
290151,0.99,0.11
290248,0.40,0.14
290254,1.22,0.31
290255,1.51,0.33
290373,0.80,0.10
290578,0.53,0.17
290583,1.04,0.28
290590,1.58,0.31
290591,1.60,0.28
290640,1.33,0.40
290681,0.77,0.20
290809,0.89,0.22
290923,1.35,0.29
291038,1.41,0.22
291257,-0.41,-0.06
291480,1.20,0.29
291592,1.27,0.26
291805,1.12,0.29
291814,-0.01,0.00
291929,0.31,0.06
292006,-0.06,0.00
292007,0.77,0.04
292032,0.41,0.11
292135,1.62,0.26
292147,0.45,0.09
292154,1.28,0.17
292368,1.28,0.26
292491,0.70,0.09
292569,0.14,0.01
292681,0.14,0.01
292683,0.85,0.04
292694,1.17,0.28
292732,1.06,0.14
292790,0.11,0.01
292795,1.05,0.05
292809,1.24,0.27
292834,0.77,0.11
292875,1.52,0.63
292921,1.18,0.27
292989,1.74,0.51
293041,1.59,0.37
293060,1.01,0.16
293405,0.92,0.19
293622,1.09,0.29
293624,0.59,0.17
293881,1.25,0.70
294080,1.21,0.27
294083,0.86,0.13
294243,0.07,0.00
294271,1.41,0.38
294295,0.53,0.18
294297,-0.37,-0.06
294393,1.24,0.22
294506,0.89,0.26
294524,0.76,0.20
294528,0.71,0.10
294638,1.39,0.35
294752,1.31,0.33
294754,0.98,0.14
294835,0.93,0.29
294945,0.38,0.12
294979,0.81,0.12
295049,0.04,0.03
295052,-0.12,-0.04
295169,-0.05,-0.01
295198,1.17,0.35
295296,0.47,0.20
295310,1.65,0.50
295312,1.48,0.38
295424,1.53,0.43
295430,1.04,0.21
295473,0.50,0.03
295516,1.13,0.46
295527,-0.08,-0.01
295676,1.40,0.55
295968,0.56,0.19
296078,0.44,0.16
296080,0.38,0.13
296234,1.36,0.49
