pid,scenario,dtmean,dppt
286937,A1B,1.31,-76.61
286938,A1B,1.31,-76.61
286939,A1B,1.16,-80.36
286940,A1B,1.16,-80.36
286941,A1B,1.16,-80.36
286942,A1B,1.26,-44.37
286943,A1B,1.26,-44.37
286944,A1B,1.26,-44.37
287034,A1B,1.17,-79.65
287035,A1B,1.17,-79.65
287036,A1B,1.17,-79.65
287037,A1B,1.04,-106.82
287038,A1B,1.04,-106.82
287039,A1B,1.04,-106.82
287040,A1B,1.04,-106.82
287041,A1B,1.16,-80.36
287042,A1B,1.16,-80.36
287043,A1B,1.16,-80.36
287044,A1B,1.16,-80.36
287045,A1B,1.16,-80.36
287046,A1B,1.16,-80.36
287047,A1B,1.16,-80.36
287048,A1B,1.16,-80.36
287049,A1B,1.16,-80.36
287050,A1B,1.16,-80.36
287051,A1B,1.16,-80.36
287052,A1B,1.16,-80.36
287053,A1B,1.16,-80.36
287054,A1B,1.26,-44.37
287055,A1B,1.26,-44.37
287056,A1B,1.26,-44.37
287077,A1B,0.45,-170.59
287080,A1B,0.45,-167.80
287081,A1B,0.45,-167.80
287082,A1B,0.45,-167.80
287083,A1B,0.45,-167.80
287084,A1B,0.54,-66.46
287085,A1B,0.54,-66.46
287086,A1B,0.54,-66.46
287087,A1B,0.54,-66.46
287088,A1B,0.54,-66.46
287119,A1B,0.89,-63.94
287120,A1B,0.89,-63.94
287121,A1B,0.89,-63.94
287122,A1B,0.89,-63.94
287123,A1B,0.89,-63.94
287124,A1B,0.89,-63.94
287125,A1B,0.89,-63.94
287126,A1B,0.79,-159.64
287127,A1B,0.79,-159.64
287128,A1B,0.93,-131.66
287129,A1B,0.93,-131.66
287130,A1B,0.93,-131.66
287131,A1B,0.93,-131.66
287132,A1B,0.93,-131.66
287133,A1B,0.93,-131.66
287134,A1B,0.93,-131.66
287135,A1B,0.93,-131.66
287136,A1B,0.93,-131.66
287137,A1B,0.93,-131.66
287138,A1B,0.93,-131.66
287139,A1B,0.93,-131.66
287140,A1B,0.93,-131.66
287141,A1B,1.04,-106.82
287142,A1B,1.04,-106.82
287143,A1B,1.04,-106.82
287144,A1B,1.04,-106.82
287145,A1B,1.04,-106.82
