pid,date,min_irrigated_yield,max_irrigated_yield,avg_irrigated_yield,stddev_irrigated_yield,min_nonirrigated_yield,max_nonirrigated_yield,avg_nonirrigated_yield,stddev_nonirrigated_yield,avg_irrigation,stddev_irrigation,max_irrigated_type,max_nonirrigated_type
287055,2020-09-01,5.41,27.90,16.21,8.23,5.12,12.40,8.58,2.99,132.48,68.89,"srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best","srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-hart12coppice"
296911,2020-09-01,6.81,37.43,21.70,11.45,1.66,6.04,3.63,1.60,329.48,132.82,"srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best","srwc-pont-raspalje,srwc-pont-raspalje,gr-fischer2013,gr-fischer2013"
304338,2020-09-01,12.98,60.55,35.62,17.74,5.53,13.32,9.86,2.78,432.74,157.53,"srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-beaupre-best","srwc-pont-beaupre-best,srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-beaupre-best"
296575,2020-09-01,6.34,35.79,20.67,11.07,1.48,5.50,3.16,1.43,344.01,136.59,"srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best","gr-fischer2013,gr-fischer2013,srwc-pont-raspalje,gr-fischer2013"
303552,2020-09-01,13.71,62.17,36.71,18.02,9.09,22.79,16.00,4.99,401.51,150.88,"srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best","srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-beaupre-best,srwc-pont-raspalje"
290940,2020-09-01,7.59,38.31,22.49,11.25,7.59,19.02,13.37,4.58,209.54,88.90,"srwc-pont-fritzi-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best","srwc-pont-raspalje,srwc-pont-beaupre-best,srwc-pont-raspalje,srwc-pont-beaupre-best"
290379,2020-09-01,6.75,36.48,21.26,10.91,6.75,17.96,12.48,4.42,207.69,90.21,"srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best","srwc-pont-raspalje,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best"
302204,2020-09-01,12.14,58.20,34.10,17.22,8.02,19.58,13.49,4.15,383.92,148.38,"srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best","srwc-pont-raspalje,srwc-pont-fritzi-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best"
289706,2020-09-01,6.24,34.29,19.92,10.35,6.24,16.13,11.43,3.93,214.93,91.75,"srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-beaupre-best","srwc-pont-raspalje,srwc-pont-beaupre-best,srwc-pont-raspalje,srwc-pont-beaupre-best"
291284,2020-09-01,7.11,35.42,20.83,10.35,7.11,21.19,14.78,5.55,163.19,77.32,"srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best","srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best"
302317,2020-09-01,12.30,58.47,34.27,17.26,8.24,20.41,13.93,4.37,378.21,147.74,"srwc-pont-fritzi-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best","srwc-pont-fritzi-best,srwc-pont-beaupre-best,srwc-pont-raspalje,srwc-pont-beaupre-best"
289929,2020-09-01,6.38,34.83,20.24,10.50,6.29,15.29,10.66,3.75,232.11,97.76,"srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-beaupre-best","srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-raspalje,srwc-pont-raspalje"
289931,2020-09-01,6.00,33.75,19.56,10.24,6.00,16.34,11.51,4.05,208.94,91.11,"srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best","srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-beaupre-best,srwc-pont-beaupre-best"
289818,2020-09-01,6.22,34.32,19.92,10.37,6.22,15.76,11.17,3.84,223.50,94.50,"srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-beaupre-best","srwc-pont-beaupre-best,srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-beaupre-best"
