pid,date,min_irrigated_yield,max_irrigated_yield,avg_irrigated_yield,stddev_irrigated_yield,min_nonirrigated_yield,max_nonirrigated_yield,avg_nonirrigated_yield,stddev_nonirrigated_yield,avg_irrigation,stddev_irrigation,max_irrigated_type,max_nonirrigated_type
288091,2020-09-01,13.81,50.50,30.92,13.06,13.81,35.46,24.57,8.48,123.19,55.45,"srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best","srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-beaupre-best,srwc-pont-beaupre-best"
288164,2020-09-01,6.63,31.70,18.60,9.22,5.75,14.14,9.53,3.18,168.79,79.92,"srwc-pont-fritzi-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best","srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje"
288917,2020-09-01,6.08,33.18,19.21,10.12,3.75,9.17,6.90,2.23,223.74,96.60,"srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-beaupre-best","srwc-pont-raspalje,srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-beaupre-best"
289245,2020-09-01,5.72,32.76,18.88,10.14,2.21,5.85,4.24,1.33,279.59,111.56,"srwc-pont-fritzi-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best","srwc-pont-raspalje,gr-fischer2013,srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje"
289253,2020-09-01,6.91,35.60,20.79,10.61,4.82,11.10,7.90,2.33,248.11,99.77,"srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-beaupre-best","srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje"
289355,2020-09-01,5.73,33.56,19.29,10.46,2.88,7.42,4.89,1.53,300.54,116.29,"srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best","srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje"
289358,2020-09-01,5.84,33.03,19.07,10.17,1.93,5.09,3.69,1.20,280.70,109.53,"srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-beaupre-best","srwc-pont-raspalje,srwc-pont-raspalje,gr-fischer2013,srwc-pont-raspalje"
289360,2020-09-01,6.00,32.94,19.10,10.02,3.13,8.87,6.01,1.98,273.94,105.86,"srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best","srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje"
289365,2020-09-01,6.80,35.47,20.69,10.61,5.25,12.38,8.83,2.67,248.15,99.73,"srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best","srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje"
289456,2020-09-01,8.65,40.20,23.80,11.57,2.42,7.01,4.67,1.70,315.02,109.61,"srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best","srwc-pont-raspalje,srwc-pont-raspalje,gr-fischer2013,srwc-pont-raspalje,gr-fischer2013"
289462,2020-09-01,7.18,38.19,22.16,11.60,1.81,5.13,3.67,1.27,335.22,118.42,"srwc-pont-fritzi-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best","gr-fischer2013,srwc-pont-raspalje,srwc-pont-raspalje,gr-fischer2013"
289581,2020-09-01,5.83,34.01,19.56,10.58,2.10,5.48,3.91,1.20,305.94,116.73,"srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-beaupre-best","srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje"
289650,2020-09-01,12.49,46.69,28.54,12.14,12.49,34.11,23.45,8.21,78.41,36.63,"srwc-pont-fritzi-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best","srwc-pont-raspalje,srwc-pont-beaupre-best,srwc-pont-raspalje,srwc-pont-beaupre-best"
289701,2020-09-01,6.05,34.14,19.74,10.45,4.93,11.25,8.06,2.51,253.69,104.09,"srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best","srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje"
289915,2020-09-01,6.12,35.53,20.45,11.06,2.27,5.92,4.00,1.37,329.04,122.47,"srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best","srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje"
290028,2020-09-01,6.18,35.78,20.61,11.12,2.40,6.33,4.24,1.44,325.61,122.15,"srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-beaupre-best","srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje"
290129,2020-09-01,8.21,41.26,24.10,12.33,1.30,3.78,2.89,1.04,365.38,122.06,"srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-beaupre-best","srwc-pont-raspalje,gr-fischer2013,gr-fischer2013,srwc-pont-fritzi-best"
290135,2020-09-01,7.34,39.16,22.73,11.91,1.45,4.18,3.17,1.12,354.12,123.39,"srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best","srwc-pont-beaupre-best,gr-fischer2013,srwc-pont-raspalje,srwc-pont-beaupre-best"
290214,2020-09-01,11.67,45.59,27.69,12.07,11.67,30.52,19.56,7.35,128.12,51.63,"srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best","srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best"
290235,2020-09-01,8.43,39.81,23.50,11.55,1.45,4.75,2.90,1.17,341.86,111.67,"srwc-pont-fritzi-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best","gr-fischer2013,srwc-pont-raspalje,gr-fischer2013,gr-fischer2013"
290238,2020-09-01,9.30,41.96,24.95,11.94,1.09,3.56,2.41,0.92,338.37,111.75,"srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-beaupre-best","srwc-pont-raspalje,gr-fischer2013,gr-fischer2013,gr-fischer2013"
290242,2020-09-01,8.35,41.78,24.43,12.46,1.66,5.09,3.14,1.25,369.40,124.31,"srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best","gr-fischer2013,srwc-pont-raspalje,gr-fischer2013,gr-fischer2013"
290250,2020-09-01,6.84,38.09,22.02,11.71,2.00,5.76,3.76,1.41,343.35,124.84,"srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-beaupre-best","srwc-pont-raspalje,srwc-pont-raspalje,gr-fischer2013,gr-fischer2013"
290257,2020-09-01,7.27,38.22,22.27,11.49,2.71,6.81,4.86,1.48,306.36,114.17,"srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best","srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje"
290324,2020-09-01,12.51,47.35,28.87,12.42,12.51,31.79,21.62,7.58,124.89,49.46,"srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-beaupre-best","srwc-pont-beaupre-best,srwc-pont-raspalje,srwc-pont-fritzi-best,srwc-pont-beaupre-best"
