pid,maxAWS,swpower,swconst
287034,10.1326515479617,6.24,0.56
287037,10.029150210774,6.42,0.57
287055,12.4216666188263,5,0.5
287127,10.7629850408119,6.28,0.57
287129,11.6094290197915,6.35,0.57
287131,10.7215485516308,6.74,0.59
287136,18.9995798358778,6.26,0.56
287166,12.1274942563073,5.6,0.53
287229,11.5449733933209,6.65,0.58
287231,10.7682129285379,6.97,0.6
287264,6.57605816105044,6.66,0.58
287320,11.5340879400893,6.8,0.59
287360,8.8551669645855,6.77,0.59
287382,7.86881725444566,6.1,0.54
287418,22.7715648133358,7.34,0.62
287474,14.165908755887,6.47,0.57
287484,9.81458217360673,6.24,0.56
287530,18.5049518149857,6.57,0.58
287531,16.4551114631527,5.27,0.49
287544,9.82097374754331,6.76,0.58
287559,9.24082861040141,5.12,0.44
287563,10.0947648164946,6.7,0.59
287584,9.28564434371428,6.83,0.59
287612,7.80337725719059,5.6,0.53
287655,10.5650557077289,6.7,0.58
287656,8.96925242340571,6.75,0.58
287673,10.5265603993781,6.94,0.6
287678,10.7793370768895,6.86,0.59
287691,11.1210723602661,6.83,0.59
287769,11.1045953727848,6.82,0.59
287777,9.65985111807777,6.02,0.55
287785,12.3236749734852,6.83,0.59
287792,9.89451926103124,6.69,0.58
287794,13.8505061447569,6.34,0.56
287818,8.92918029717365,6.44,0.57
287837,8.09143456602408,5.6,0.53
287871,11.7097923577936,6.79,0.58
287874,11.5144549000085,6.92,0.59
287889,9.71103314901919,6.09,0.55
287915,11.916963727484,6.9,0.6
287929,13.0681821899581,6.21,0.56
287934,8.68425739983949,6.47,0.57
287938,11.3609639140215,5.8,0.52
287949,9.98062814725805,5.42,0.52
288001,10.0315689097493,6.5,0.58
288022,13.0435544310251,6.33,0.57
288043,10.6080901428413,6.36,0.57
288061,7.99616815845308,6.23,0.56
288088,9.05422180105563,6.77,0.59
288091,16.4620546252989,6.73,0.57
288107,7.70147941136142,6.82,0.59
288140,12.7511341027179,6.66,0.58
288152,7.78887938938548,6.53,0.57
