awsp,Sand,Clay,Silt
0,0,0,0
0.05,0.02224978062,0.01162641588,0.01324454562
0.1,0.05778702608,0.02884578695,0.03329353332
0.15,0.1140087682,0.05456423578,0.06383384548
0.2,0.2001327283,0.09306730158,0.1102482462
0.25,0.3233213868,0.1502184977,0.1795670289
0.3,0.4798231965,0.2327928911,0.2788079787
0.35,0.6471378073,0.3456597563,0.4101110618
0.4,0.7921059588,0.4860032,0.5634601647
0.45,0.8934315142,0.6378695444,0.7147098095
0.5,0.951971222,0.7757030227,0.8374003725
0.55,0.9808511329,0.8789390984,0.9192533321
0.6,0.9932853031,0.943160613,0.9650104965
0.65,0.9979720203,0.9769038651,0.9868647345
0.7,0.9994928013,0.9920310574,0.9958298457
0.75,0.9999016628,0.9977635157,0.9989343715
0.8,0.9999868003,0.9995301675,0.9997999465
0.85,0.9999990089,0.9999372601,0.9999768698
0.9,0.9999999742,0.9999963278,0.9999988946
0.95,0.9999999999,0.9999999713,0.9999999939
1,1,1,1
